Loc;Dev;DevSoc;DevHum;DevInfra;IntFu;N_acords
AFG;0;0,0;0,0;0,0;1,5;4,5
AFG;1;14,0;2,0;6,0;13,0;15,0
AFG;2;1,0;0,0;0,0;1,0;1,0
AGO;0;0,0;0,0;0,0;0,0;10,11111111111111
AGO;1;3,3333333333333335;0,0;0,0;1,3333333333333335;3,3333333333333335
ARG;0;0,0;0,0;0,0;0,0;1,0
ARM;0;0,0;0,0;0,0;0,0;10,5
ARM;1;1,0;0,5;0,0;0,0;1,5
AZE;0;0,0;0,0;0,0;0,0;10,5
AZE;1;1,0;0,5;0,0;0,0;1,5
BDI;0;0,0;0,0;0,0;4,0;16,0
BDI;1;6,0;0,0;1,0;1,0;6,0
BDI;2;1,0;0,0;1,0;1,0;1,0
BDI;3;3,0;0,0;2,0;1,0;3,0
BGD;3;1,0;1,0;0,0;0,0;1,0
BHR;0;0,0;0,0;0,0;0,0;2,0
BHR;1;3,0;0,0;0,0;0,0;3,0
BIH;0;0,0;0,0;0,0;3,0;72,0
BIH;1;8,0;30,0;7,0;10,0;40,0
BIH;2;4,0;14,0;4,0;3,0;17,0
BIH;3;1,0;6,0;3,0;1,0;6,0
CAF;0;0,0;0,0;0,0;1,0;11,444444444444445
CAF;1;5,333333333333332;1,0;1,0;0,3333333333333333;6,333333333333332
CAF;2;1,0;2,0;1,0;0,0;2,0
CHN;0;0,0;0,0;0,0;0,0;6,033333333333334
CHN;1;0,5;0,0;0,0;0,0;0,5
CHN;2;0,16666666666666666;0,0;0,0;0,0;0,16666666666666666
CIV;0;0,0;0,0;0,0;2,0;14,0
CIV;1;3,0;0,0;0,0;0,0;3,0
CIV;2;0,0;1,0;0,0;1,0;1,0
CIV;3;1,0;0,0;0,0;1,0;1,0
CMR;0;0,0;0,0;0,0;0,0;0,5
CMR;1;0,5;0,0;0,0;0,0;0,5
COD;0;0,0;0,0;0,0;1,0;11,61111111111111
COD;1;7,833333333333332;0,0;2,0;3,3333333333333335;8,833333333333332
COD;2;2,0;1,0;2,0;0,0;3,0
COD;3;1,0;1,0;1,0;1,0;1,0
COG;0;0,0;0,0;0,0;0,0;1,1111111111111112
COG;1;2,3333333333333335;0,0;0,0;1,3333333333333335;2,3333333333333335
COL;0;0,0;0,0;0,0;3,0;78,5
COL;1;28,0;5,0;1,0;2,0;33,0
COL;2;9,0;0,0;2,0;0,0;10,0
COL;3;7,0;0,0;0,0;1,0;7,0
COM;0;0,0;0,0;0,0;3,0;5,0
COM;1;2,0;0,0;1,0;2,0;3,0
CRI;3;0,2;0,0;0,0;0,2;0,2
DEU;0;0,0;0,0;0,0;0,0;0,2
DJI;0;0,0;0,0;0,0;0,0;0,5
DJI;1;1,0;0,0;0,0;0,0;1,0
DJI;2;1,0;1,0;1,0;0,0;1,0
DJI;3;1,0;0,0;1,0;1,0;1,0
DZA;0;0,0;0,0;0,0;0,0;5,0
DZA;1;1,0;0,0;0,0;0,0;1,0
ECU;0;0,0;0,0;0,0;0,0;6,5
ECU;1;0,5;0,0;0,0;0,5;0,5
ERI;0;0,0;0,0;0,0;0,5;3,8333333333333335
ERI;1;1,5;0,0;0,0;1,0;1,5
ERI;2;0,5;0,0;0,0;0,0;0,5
ESP;0;0,0;0,0;0,0;0,0;3,0
ETH;0;0,0;0,0;0,0;0,5;3,8333333333333335
ETH;1;3,5;1,0;0,0;1,0;3,5
ETH;2;1,5;1,0;1,0;0,0;1,5
ETH;3;1,0;0,0;0,0;0,0;1,0
FRA;0;0,0;0,0;0,0;0,0;0,2
GAB;3;1,0;0,0;0,0;0,0;1,0
GBR;0;0,0;0,0;0,0;0,5;12,2
GBR;1;2,5;0,0;0,0;0,0;2,5
GBR;2;2,0;0,0;0,0;0,0;2,0
GBR;3;1,5;0,0;0,5;0,5;1,5
GEO;0;0,0;0,0;0,0;3,0;30,0
GEO;1;7,0;3,5;3,0;2,5;13,0
GEO;2;3,0;1,5;4,0;2,5;4,0
GEO;3;1,0;0,0;0,0;1,0;1,0
GIN;0;0,0;0,0;0,0;1,0;2,0
GNB;0;0,0;0,0;0,0;1,0;5,0
GNB;1;1,0;0,0;0,0;0,0;1,0
GRC;2;0,5;0,0;0,5;0,5;0,5
GTM;0;0,0;0,0;0,0;3,0;10,0
GTM;1;4,0;0,0;0,0;0,0;4,0
GTM;2;2,0;0,0;1,0;0,0;2,0
GTM;3;2,2;0,0;1,0;1,2;2,2
HND;0;0,0;0,0;0,0;0,0;2,0
HND;3;0,2;0,0;0,0;0,2;0,2
HRV;0;0,0;0,0;0,0;0,0;26,0
HRV;1;1,0;3,0;3,0;1,0;7,0
HRV;2;1,0;3,0;2,0;0,0;6,0
HRV;3;1,0;2,0;3,0;1,0;4,0
HTI;1;4,0;0,0;0,0;3,0;4,0
IDN;0;0,0;0,0;0,0;2,5;12,5
IDN;1;3,0;4,0;4,0;0,0;8,0
IDN;2;1,0;5,0;1,0;3,0;5,0
IDN;3;0,0;1,0;0,0;0,0;1,0
IND;0;0,0;0,0;0,0;0,0;17,0
